"MovieName","Rank","Score","CommentNumber","Link","Quote"
"肖申克的救赎",1,"9.7","1845298","https://movie.douban.com/subject/1292052/","希望让人自由。"
"霸王别姬",2,"9.6","1356759","https://movie.douban.com/subject/1291546/","风华绝代。"
"阿甘正传",3,"9.5","1411604","https://movie.douban.com/subject/1292720/","一部美国近现代史。"
"这个杀手不太冷",4,"9.4","1605755","https://movie.douban.com/subject/1295644/","怪蜀黍和小萝莉不得不说的故事。"
"美丽人生",5,"9.5","898866","https://movie.douban.com/subject/1292063/","最美的谎言。"
"泰坦尼克号",6,"9.4","1351724","https://movie.douban.com/subject/1292722/","失去的才是永恒的。 "
"千与千寻",7,"9.3","1444709","https://movie.douban.com/subject/1291561/","最好的宫崎骏，最好的久石让。 "
"辛德勒的名单",8,"9.5","723450","https://movie.douban.com/subject/1295124/","拯救一个人，就是拯救整个世界。"
"盗梦空间",9,"9.3","1365631","https://movie.douban.com/subject/3541415/","诺兰给了我们一场无法盗取的梦。"
"忠犬八公的故事",10,"9.4","932775","https://movie.douban.com/subject/3011091/","永远都不能忘记你所爱的人。"
"海上钢琴师",11,"9.3","1131589","https://movie.douban.com/subject/1292001/","每个人都要走一条自己坚定了的路，就算是粉身碎骨。 "
"机器人总动员",12,"9.3","901468","https://movie.douban.com/subject/2131459/","小瓦力，大人生。"
"三傻大闹宝莱坞",13,"9.2","1250227","https://movie.douban.com/subject/3793023/","英俊版憨豆，高情商版谢耳朵。"
"楚门的世界",14,"9.3","990706","https://movie.douban.com/subject/1292064/","如果再也不能见到你，祝你早安，午安，晚安。"
"放牛班的春天",15,"9.3","871195","https://movie.douban.com/subject/1291549/","天籁一般的童声，是最接近上帝的存在。 "
"星际穿越",16,"9.3","1004148","https://movie.douban.com/subject/1889243/","爱是一种力量，让我们超越时空感知它的存在。"
"大话西游之大圣娶亲",17,"9.2","979944","https://movie.douban.com/subject/1292213/","一生所爱。"
"熔炉",18,"9.3","597545","https://movie.douban.com/subject/5912992/","我们一路奋战不是为了改变世界，而是为了不让世界改变我们。"
